,id,lang,authors,title,subtitle,statement,place,publisher,year,editors,subjects,subject_types,parentId,parentTitle,signature,inventory_nr,Unnamed: 0,text,text_3,text_2,text_1,lev,sys,numbis,vw,backreference,subject_list,year_clean
126746,BV037578108,ita,,Da Ca' Pesaro a Morandi,,"Città di Conegliano, Assessorato alla Cultura. A cura di Marco Goldin",Conegliano,Linea d'Ombra Libri,2002,"Goldin, Marco",Italien|Malerei,g|s,,,,,,,,,,,,,,,Italien Malerei,2002.0
57913,BV013800598,ger,"Meyer, Reiner",Die Reklamekunst der Keksfabrik Bahlsen in Hannover von 1889 - 1945,,vorgelegt von Reiner Meyer,,,1999,,H. Bahlsens Keksfabrik|Keks,b|s,,,,,,,,,,,,,,,H.BahlsensKeksfabrik Keks,1999.0
959110,BV043856864,eng,"Smit, Lisa",Jan Toorop,,"Lisa Smit, art historian",,,[2016],,"Toorop, Jan",p,,,,,,,,,,,,,,,TooropJan,2016.0
953294,BV043682762,ita,"Paladino, Mimmo",Disegnare le parole,,Giorgio Bacci,[Pistoia],Gli ori,[2016],"Bacci, Giorgio","Paladino, Mimmo|Kunst",p|s,,,,,,,,,,,,,,,PaladinoMimmo Kunst,2016.0
212611,BV037842259,hrv,,Zlato i srebro zadra,,predgovor nap. Miroslav Krleža,Zagreb,Izd. Zavod Jugosl. Akad.,[ca. 1959],"Krleža, Miroslav",Zadar|Goldschmiedekunst,g|s,,,,,,,,,,,,,,,Zadar Goldschmiedekunst,1959.0
78227,BV021318060,fre,,L' espace plastique,,Maurice Benhamou,Genova,Name,1998 (printed 1999),"Benhamou, Maurice",Visuelle Wahrnehmung,s,,,,,,,,,,,,,,,VisuelleWahrnehmung,1998.0
652176,BV038527864,ger,"Richter, Václav",Die Architektur des 17. und 18. Jahrhunderts in Mähren,,Václav Richter u. Zdenek Kudělka,,,1972,"Kudělka, Zdeněk","Luchese, Filippo|Tschechoslowakei|Architektur",p|g|s,,,,,,,,,,,,,,,LucheseFilippo Tschechoslowakei Architektur,1972.0
514073,BV038310801,ita,"Calzini, E.",Una visita a Castignano,,,,,1907,,"Crivelli, Carlo",p,,,,,,,,,,,,,,,CrivelliCarlo,1907.0
191270,BV037790521,ita,,Pio IX nelle monete e nelle medaglie,,,Roma,,1979,,Pius IX. (Papst),p,,,,,,,,,,,,,,,PiusIX.(Papst),1979.0
622147,BV038481640,rum,"Munteanu, Victor",Noi orientări şi recente realizări in restaurarea monumentelor istorice şi de arta,,Victor Munteanu,,,1973,,Rumänien|Denkmalpflege,g|s,,,,,,,,,,,,,,,Rumänien Denkmalpflege,1973.0
887852,BV040965235,ita,Metodio,Salvatore da Rivolta e la sua cronaca,,Metodio da Nembro (Carobbio Mario),Milano,Centro Studi Cappuccini Lombardi,1973,,"Rasari, Salvatore|Chronik|Lombardei|Kapuziner",p|s|g|b,BV008435583,Centro Studi Cappuccini Lombardi,,,,,,,,,,,,,RasariSalvatore Chronik Lombardei Kapuziner,1973.0
56575,BV013589942,eng,,Journal of cerebral blood flow & metabolism,,,"Thousands Oaks, Calif. ; London",Sage,1981-,,Stoffwechsel,s,,,,,,,,,,,,,,,Stoffwechsel,1981.0
926234,BV042471118,spa,"Pizza, Antonio",Las ciudades del futurismo italiano,,Antonio Pizza,Barcelona,"Univ. de Barcelona, Publicacions i Edicions [u.a.]",[2014],,Mailand|Futurismus,g|s,,,,,,,,,,,,,,,Mailand Futurismus,2014.0
200466,BV037813606,ita,"Seznec, Jean",La sopravvivenza degli antichi dei,,Jean Seznec. Trad. di Giovanni Niccoli e Paola Gonnelli Niccoli,Torino,Boringhieri,1981,"Niccoli, Giovanni",Griechenland|Mythologie,g|s,,La survivance des dieux antiques,,,,,,,,,,,,,Griechenland Mythologie,1981.0
170801,BV037741804,ita,,Haeckel e l'Italia,,"Centro Internazionale di Storia della Nazione e della Misura dello Spazio e del Tempo. Brugine (Padova) ; Institut für Geschichte der Medizin, Naturwissenschaft und Technik. Friedrich Schiller Universität Jena. Redazione testi della mostra: Erika Krauße",Brugine,Ed. Centro Internazionale di Storia dello Spazio e del Tempo,1993,"Krauße, Erika","Haeckel, Ernst",p,,,,,,,,,,,,,,,HaeckelErnst,1993.0
139678,BV037657613,spa,,Clausuras,,"Real Academia de Bellas Artes de San Fernando.Catálogo, articulos: Aurea de la Morena Bartolomé, Alfonso E. Pérez Sánchez ...",Madrid,,2007,"Morena Bartolomé, Aurea de la|Pérez Sánchez, Alfonso E.",Spanien|Kunst,g|s,,,,,,,,,,,,,,,Spanien Kunst,2007.0
27356,BV005439865,ita,,Baschenis de Averaria,,Silvia Vernaccini. Fotogr. di Gianni Zotta,Trento,Temi Ed.,1989,"Vernaccini, Silvia|Zotta, Gianni",Baschenis (Familie)|Freskomalerei|Trentino,p|s|g,,,,,,,,,,,,,,,Baschenis(Familie) Freskomalerei Trentino,1989.0
185058,BV037776882,ger,,München leuchtete,,Bayerische Staatsgemäldesammlungen ; Staatsgalerie Moderner Kunst ; 88. Deutscher Katholikentag München 1984. Hrsg. von Peter-Klaus Schuster,München,Prestel,1984,"Schuster, Peter-Klaus","Mann, Thomas|Deutschland|Kunst",p|g|s,,,,,,,,,,,,,,,MannThomas Deutschland Kunst,1984.0
851292,BV038950926,ger,,Die Glückseligkeit des gemeinen Wesens,,,Frankfurt am Main [u.a.],Lang,1999,"Marri, Fabio|Lieber, Maria","Muratori, Lodovico Antonio|Rezeption|Deutschland",p|s|g,BV009857942,Italien in Geschichte und Gegenwart,,,,,,,,,,,,,MuratoriLodovicoAntonio Rezeption Deutschland,1999.0
1013771,BV046070238,ger,"Körlings, Peter",Mobile Erreichbarkeit von Arbeitnehmern,,Peter Körlings,Berlin ; Bern ; Bruxelles ; New York ; Oxford ; Warszawa ; Wien,Peter Lang,[2019],,Deutschland|Arbeitsrecht,g|s,BV035828332,Schriften zum deutschen und europäischen Arbeitsrecht,,,,,,,,,,,,,Deutschland Arbeitsrecht,2019.0
564062,BV038386250,ger,"Hellebranth, Robert",Alcide Le Beau,,Robert Hellebranth,,,1988,,"Le Beau, Alcide",p,,,,,,,,,,,,,,,LeBeauAlcide,1988.0
890716,BV041114601,eng,"Bartlová, Milena",Continuity and discontinuity in the Czech legacy of the Vienna School of art history,,Milena Bartlová,,,2013,,"Tschechien|Kunst|Chytil, Karel",g|s|p,,,,,,,,,,,,,,,Tschechien Kunst ChytilKarel,2013.0
715253,BV038626814,ger,"Zschokke, Walter",Aus Tessiner Rustici sollen Ferienhäuser werden,,Walter Zschokke,,,1983,,Schweiz|Denkmalpflege,g|s,,,,,,,,,,,,,,,Schweiz Denkmalpflege,1983.0
388344,BV038158087,ita,"Lombardi, Ada",Josephine Sassu,,,,,2000,,"Sassu, Josephine",p,,,,,,,,,,,,,,,SassuJosephine,2000.0
894472,BV041287201,ita,"Borzacconi, Angela",La chiesa medievale di San Proto,,Angela Borzacconi,,,2012,,San Proto|Bauaufnahme,g|s,,,,,,,,,,,,,,,SanProto Bauaufnahme,2012.0
210331,BV037836344,ger,,Vom späten Mittelalter bis zu Jacques Louis David,,"Staatliche Museen Preussischer Kulturbestitz, (Kupferstichkabinett). (Bearb.: Fedja Anzelewsky ; Peter Dreyer ...)",Berlin,Hartmann,1973,"Anzelewsky, Fedja","David, Jacques Louis",p,,,,,,,,,,,,,,,DavidJacquesLouis,1973.0
12822,BV002113911,ger,"Gottschalk, Herbert",Lexikon der Mythologie der europäischen Völker,,Herbert Gottschalk,Berlin,Safari-Verl.,1973,,Mythologie,s,,,,,,,,,,,,,,,Mythologie,1973.0
1120475,BV047757872,fre,"Geymüller, Heinrich von",Nouvelles observations sur Bramante,,Henry de Geymüller,,,1874,,"Bramante, Donato",p,,,,,,,,,,,,,,,BramanteDonato,1874.0
924800,BV042382999,ita,"Bolognesi, Eugenio",Alceste,,di Eugenio Bolognesi. [Autori dei testi: Fabio Benzi ... Fondazione Giorgio e Isa de Chirico],[Falciano (RSM)],Maretti,2015,"Benzi, Fabio","De Chirico, Giorgio",p,,,,,,,,,,,,,,,DeChiricoGiorgio,2015.0
542042,BV038352792,ita,"Fusconi, Giulia",Revisione degli studi sui disegni genovesi tra Cinquecento e Settecento,,Giulia Fusconi,,,1980,,Genua|Zeichnung,g|s,,,,,,,,,,,,,,,Genua Zeichnung,1980.0
233575,BV037923356,ita,"Di Dario Guida, Maria Pia",La scultura romanica in Calabria ai tempi della contea,,,,,2002,,Kalabrien|Plastik,g|s,,,,,,,,,,,,,,,Kalabrien Plastik,2002.0
530451,BV038335806,pol,"Fabiani, Bożena",Dwór ostatnich Wazów,,Bożena Fabiani,,,1968,,"Jan Kazimierz II. (Polen, König)|Bildnis|Polen",p|s|g,,,,,,,,,,,,,,,JanKazimierzII.(PolenKönig) Bildnis Polen,1968.0
634154,BV038500092,fre,"Pavel, Amelia",Hommage à Kirchner au centenaire de sa naissance,,Amelia Pavel,,,1979,,"Kirchner, Ernst Ludwig",p,,,,,,,,,,,,,,,KirchnerErnstLudwig,1979.0
70040,BV019367404,ita,"Pietroforte, Stefania","Storia di un'amicizia filosofica tra neoscolastica, idealismo e modernismo",,Stefania Pietroforte,Tavarnuzze (Firenze),Ed. del Galluzzo per la Fondazione Ezio Franceschini,2004,,"Nardi, Bruno",p,BV013950343,Carte e carteggi,,,,,,,,,,,,,NardiBruno,2004.0
140633,BV037660840,spa,,Rogelio de Egusquiza (1845 - 1915),,"Museo de Bellas Artes de Santander, Fundación Marcelino Botín. Textos: Javier Barón Thaidigsmann ...",Santander,,1995,"Barón, Javier","Egusquiza Barrena, Rogelio de",p,,,,,,,,,,,,,,,EgusquizaBarrenaRogeliode,1995.0
1077717,BV047715099,ger,"Berggruen, Oskar",Weibliche Porträtstudie nach Fritz August Kaulbach,,von O.B.,,,1882,,"Büchel, Eduard|Sammlung",p|s,,,,,,,,,,,,,,,BüchelEduard Sammlung,1882.0
