id,lang,title,year,embedding_x,embedding_y,cluster
BV038438963,ita,Ragioni politiche e religiose della Querelle fra neoclassici e romantici,1964,466,-710,2
BV039929913,ita,Il Trionfo all'antica nell'illustrazione libraria al tempo di Ferrante e Alfonso II d'Aragona,2011,220,614,5
BV038161474,ita,Durante il fascismo,2000,147,-132,-1
BV009617519,eng,Outcasts,1993,588,-228,-1
BV046355232,eng,"Writers, literature and censorship in Poland. 1948-1958",[2020],552,240,-1
BV003702955,ger,Studien zur Ikonographie des Antichrist,1975,208,843,-1
BV038852583,ita,Musei del Veneto,1997,319,735,-1
BV047759545,fre,"Les écoles étrangères de peinture, [1]",1878,-466,735,0
BV037960516,ger,Die Venus von Urbino im Paragone,2005,-453,240,4
BV038315275,ger,Neue Arbeiten von Lothar Otto,1954,638,60,-1
BV047176387,ita,La corte rinascimentale dei Sanseverino principi di Salerno,novembre 2020,552,-554,2
BV038625938,ger,Holbein d. J. an der Mont-Cenis-Strasse,1951,-85,96,9
BV038520251,ger,Frankfurter Fayencen aus der Zeit des Barock,1989,85,-72,8
BV035671985,dut,Piranesi,2008,638,301,-1
BV038872190,ita,Metamorfosi del reale,1983,233,0,-1
BV024196524,ita,Tesori d'arte cristiana,1966,638,253,-1
BV038628328,eng,"David and Norblin, 'The Oath of the Tennis Court' and two problems of attribution",1980,-1177,-253,-1
BV038029706,ger,Dürerkult in der Romantik,1998,-294,759,0
BV040298655,ita,Tra ideologia e reminiscenze storiche,2011,12,-144,9
BV038638945,pol,Uwagi o stanie zachowania krakowskiego Ołtarza Mariackiego Wita Stwosza,1989,601,337,-1
BV038677418,eng,"Chaos, mess and uncertainty",2005,-871,-843,-1
BV038156433,ita,Colonia e Vienna nel medioevo,1999,171,-156,-1
BV038666361,ger,Karolingisches und Nichtkarolingisches in zwei Mosaikfragmenten der Vatikanischen Bibliothek,1974,-98,-277,-1
BV038437424,ita,Le pitture di S. Maria di Gesù presso Palermo,[1927?],-269,735,0
BV046060039,ita,Il cannocchiale in Arcadia,2019,785,-180,-1
BV035409523,eng,Body and embodiment in Netherlandish art,2008,871,602,-1
BV037910416,spa,El retrato del Renacimiento,2008,-12,-506,-1
BV038459902,ger,Zwei Inschriften aus Zadar (deutsche Zusammenfassung),1953,932,542,-1
BV047104743,fre,Un revêtement céramique sur mesure,12 janvier 2021,404,674,-1
BV040297857,ita,Storie da un archivio,2006,245,-277,-1
BV038359296,eng,What makes the black clock run?,[1979?],687,-84,3
BV047756284,ger,"Anmerkungen zur Idee, in Villingen ein neues Stadttor zu bauen",1994,98,-301,-1
BV047158947,eng,The iconography of the emperor Maxentius' buildings in Via Appia,1966,98,397,-1
BV047713943,ger,Kapsel der Leipziger Bismarckadresse nebst Untersatz,1885,588,-253,-1
BV044271177,eng,Reflections: Writing Comics into Art History in Contemporary Japan,2017,871,96,3
BV038929631,eng,"Goya, Saturn and melancholy",1962,490,518,-1
BV037836478,fre,"Catalogue Raisonné Des Estampes Gravées A L'Eau-Forte Par Guido Reni, Et De Celles De Ses Disciples Simon Cantarini, Dit Le Pesarese, Jean-André Et Elisabeth Sirani, Et Laurent Loli",1795,-319,-445,-1
BV021328095,ita,L' antiretorica dei valori,2002,-73,-84,-1
BV000701799,ita,Palazzo San Gervasio e il suo castello,1985,171,-204,-1
BV042890610,ita,L' ultima posa,2013,404,-144,-1
BV038531188,ger,Die Meissner AR-Marke,1984,-171,108,-1
BV026241129,ita,Gli Italiani in Africa,1971,-49,518,-1
BV037583929,ita,Volti fra Rinascimento e barocco,2002,-73,-180,-1
BV038145865,ger,Die Nicopea in San Marco zur Geschichte und zum Typ einer Ikone,1998,429,-722,-1
BV038096112,ita,Jean Nouvel,2009,601,-433,-1
BV038061561,ita,La costruzione delle torri vicereali,2005,61,-240,-1
BV005471471,ger,Buch der Erinnerung,1947,588,-277,-1
BV038190560,ita,I cappuccini nella Polonia di Giovanni III Sobieski e l'erezione del primo convento in Varsavia,2001,490,-36,-1
BV023774635,eng,The four elements of architecture and other writings,1989,723,289,-1
BV000069891,eng,The rapes of Lucretia,1982,355,554,-1
BV041224200,ger,Die Kalenderbriefe des Georg Albrecht Hamberger im Kontext der Kalenderreform von 1700,2012,-417,-84,-1
BV037711013,ita,Da Fattori a Previati,2009,-36,-289,8
BV038594252,eng,Repin's search for the revolutionary's image in They did not expect him,1978,-245,-397,-1
BV003380263,eng,The mural painters of Tuscany,1980,-478,-1373,-1
BV035554588,ger,Wunderkammern,2009,-466,156,-1
BV045914338,eng,Creating healthy and sustainable buildings,[2019],306,554,5
BV040292638,ita,Bibliografia di Gisella Cantino Wataghin,2011,883,12,3
BV037901563,ger,Der Darmstädter Hitda-Codex,1968,-12,120,-1
BV046643726,eng,Structural prognostics and health management in power & energy systems,[2019],601,819,1
BV037871478,ger,Die Musik des Rokokos und der Klassik,1928,-233,-361,8
BV038514309,eng,The Fall of Adam and Eve by Burgkmair,1953,392,204,-1
BV037659855,ita,Obituaries,2008,944,-24,-1
BV043474579,ita,Problemi con il committente,2015,147,-180,-1
BV038318298,ger,Die Skulpturen des Portals zu Remagen,1896,-184,289,-1
BV002944092,ger,Die Altarbaukunst Balthasar Neumanns,1937,-196,-36,-1
BV044264961,ita,Appunti per una lettura stilistica dei capitelli del chiostro della cattedrale,[2016],-98,-180,9
BV035692848,ita,Colombarone,2008,-220,-301,-1
BV002527845,ger,Jahrbuch,1967-,368,421,-1
BV037729497,ita,"In ricordo di Jacopo Barozzi, detto il Vignola",1907,-134,-433,-1
BV047128271,eng,A note on the miniatures of the Vatican Virgil manuscript,1983,306,0,6
BV043338206,ita,L' arte della seta a Catanzaro tra il Mezzogiorno e l'Europa nel Sei e Settecento,[2015],49,638,-1
BV038101064,ita,Ricchi e poveri del pennello nella mappa fiscale del 1630,2009,24,-180,9
BV044331905,ita,Massimiliano e l'esotismo,aprile 2017,-73,-445,-1
BV038626651,ita,Notizie di artisti della Valle d'Intelvi nei sec. XV e XVI e dello scultore e architetto Rocco figlio di Tommaso del lago di Como conosciuto come Rocco da Vicenza,1966,159,-602,-1
BV038339532,ger,Carl Schneiders,[1958?],858,590,-1
BV038490277,eng,Hume's opinion of critics,1961,-613,60,-1
BV044694203,ger,Schatzkammer der Venus,[2017],-748,-963,-1
BV038342035,ger,Burg Burgschwalbach und die Einführung der Feuerwaffen im Mittelsheingebiet,1975,-208,433,-1
BV048303273,ita,Canova e il dolore,[2022],-245,325,-1
BV037930747,ita,Capodimonte (La Spezia),1993,-24,-373,-1
BV038585113,ger,Franz Erhard Walther - Prozessmaterialien,1973,0,494,-1
BV000353120,ger,Schloß Benrath,1985,429,-481,-1
BV038699401,eng,"[Rezension von:] Art and the Augustinian Order in early Renaissance Italy. - Aldershot : Ashgate, 2007",2008,355,1253,-1
BV037944199,eng,"Patricians, monks, and nuns",2003,-208,481,-1
BV010735152,ita,Filippo Juvarra,1995,515,879,-1
BV038106477,ger,Das Eigene und das Fremde,2009,-171,132,-1
BV038210311,ita,Alcune notizie sulla chiesa e sul convento degli Agostiniani di Verona,1994,-184,-168,9
BV038929483,ita,Immagini di storia evangelica,1976,466,132,7
BV038144684,ita,Il Camposanto monumentale,1999,282,819,-1
BV041756342,ita,Gianni Pirrone,2012 [ersch.] 2014,-441,253,4
BV038388057,ger,Besuch und Besucher der Dresdener Kunstsammlungen zur Goethezeit,1982,233,602,5
BV037742738,ger,Gedanken über bildhauerische Gestaltung,1967,147,-277,-1
BV038145961,ita,Pontida 1491 - 1991,1994,503,602,-1
BV038802839,eng,Iconclass indexes,1987,-171,-277,-1
BV036849403,eng,"The Jew, the cathedral, and the medieval city",2011,601,385,-1
BV046810697,eng,Hakol Kol Yaakov,[2021],85,313,-1
BV015385373,eng,Proceedings,1884-1885,-441,12,-1
BV046628028,ger,Docta manus reparabat,[2019],294,-132,-1
BV037642896,dut,Mayken Verhulst (1518 - 1599),2005,85,240,-1
BV007585550,ita,Giotto,1941,-392,951,0
BV008136032,ita,La grande Milano tradizionale e futurista,1969,-110,-192,-1
BV038499491,pol,Kościół św. Barbary w Krakowie,1967,490,132,7
BV037964169,ita,1936: Le Corbusier interviene al Convegno Volta ed è subito polemica,2004,527,-602,2
BV046861264,eng,A superb baroque,[2020],-478,795,0
BV037619247,fre,Etienne-Louis Boullée,1997,-785,-36,-1
BV038643850,spa,El arte de Pedro de Campaña,1969,490,-180,-1
BV012103570,ger,Santa Maria presso San Celso in Mailand,1998,674,385,-1
BV038432988,fre,Un 'Saint Evêque' de Pietro Lorenzetti,1976,-196,855,0
BV037938700,ita,Il pavimentum sectile della cattedrale di Torcello,1996,-196,-60,-1
BV038180577,ita,Una fondazione cistercense nel territorio di Sermoneta,1999,184,-313,-1
BV043988561,spa,Una Inmaculada de Vicente Castelló y Amat en Alcoy,2004,-515,638,-1
BV038337580,ita,Città e storia delle citta,1974,-98,-228,-1
BV038192609,ita,La chiesa di Santa Severa e Santa Lucia nel Castello di Santa Severa,1999,49,108,-1
BV038197579,ita,Il castello di Pietrarubbia,2001,331,0,7
BV038151490,ita,Arte cembalaria a Napoli,1998,61,-337,-1
BV038942512,ita,Pensieri sulla pittura,1996,-269,879,0
BV037840353,ita,Un libro di schizzi di Filippo Juvarra a Chatsworth,1949,24,373,-1
BV038055869,ger,Zur Geschichte der Gesellschaft für vergleichende Kunstforschung,2008,-122,566,-1
BV043665658,fre,Un tableau n'est pas qu'une image,2016,-282,915,0
BV040277313,ita,Un'Addolorata di Sebastiano Ceccarini,2009,858,132,-1
BV038474924,dut,Een merkwaardige kelk uit het Clarissenklooster van 's-Hertogenbosch (1493),1968,-196,204,-1
BV038123031,fre,L' aménagement du quartier des Halles sous la IIIe République,2005,466,421,-1
BV038935880,ita,Brunelleschi,2007,723,-120,3
BV038657302,spa,El rejero Juan Frances,1956,-478,915,0
BV038008618,fre,Les Merveilles du Cabinet du Pont-Neuf de l'étrange Monsieur Lintlaër,2005,49,-36,9
BV037572675,ita,Arte in Basilicata,2001,-404,867,0
BV038921313,ita,L' approccio storico-ambientale al patrimonio rurale delle aree protette,2003,-282,-216,-1
BV005332521,eng,The Islamic dynasties,1967,-122,156,-1
BV021277251,ita,Segreti romani,2005,552,-506,2
BV038810229,spa,La arquitectura del Renacimiento en Toledo (1541 - 1631),1986,-24,301,-1
BV038368435,eng,The Islamic Dome,1963,257,-24,-1
BV046260992,ita,Un inedito di Zeno Donise a Roncobello nell'alta Val Brembana,2019,650,192,-1
BV002950002,lat,De initio potestatis primatialis Romani pontificis,1968,-392,-373,-1
BV005221551,fre,Le gout du moyen âge en France au XVIIIe siècle,1926,110,-72,-1
BV047068963,ita,Palazzo Alberini - Cicciaporci - Sermi - Calderari,1984,760,-156,3
BV044796141,fre,"La mosaïque de l'abside de Saint-Clément de Rome, entre tradition et innovation",2017,269,108,6
BV038922283,ger,Die Dokumente der klösterlichen Visitationen,1999,319,397,-1
BV038424653,rus,Ikona (Bogomater' Vladimirskaja) iz Sol'vyčegodska i ee restavracija,1987,184,-457,-1
BV037745080,ger,Das Dessau-Wörlitzer Reformwerk und das Wirken von Friedrich Wilhelm von Erdmannsdorff,1986,907,132,-1
BV022513355,ger,Das Wiener Bürgerliche Zeughaus,1960,-147,-421,-1
BV035388720,ita,"Simpatia, fantasia e contagio",2008,85,433,-1
BV037611690,ita,La borghesia allo specchio,2004,-503,24,-1
BV038118953,ita,Shakespeare lettore di Alberti?,2010,-49,-204,-1
BV038603006,ger,Der Maler Hermann Stenner,1957,-184,-554,-1
BV037976398,ita,L' identità dei luoghi quando il territorio diventa città,2005,245,397,-1
BV042337911,ita,Le proprietà piemontesi del Fondo Ambiente Italiano e la convenzione del 1992 con la Soprintendenza per i Beni Artistici e Storici del Piemonte,2014,12,-289,-1
BV038534341,dut,Literatuuroverzicht betreffende de Geschiedenis der Textiele Kunsten in de Nederlanden (1953 - 1954),1955,-527,-265,-1
BV038408989,eng,"Trends, phases and centres of baroque sacral architecture in the Grand Duchy of Lithuania",1986,809,-156,3
BV038207559,ita,Giannetto Fieschi incisore,2002,699,481,-1
BV044911101,ita,Elementi urbanistici negli inventari dell'Abbazia di S. Leucio in Todi (parte II),[2011],895,24,-1
BV046816527,ger,Steinwerkzeuge,2020,527,-578,2
BV038899552,eng,The 'Primavera' of Sandro Botticelli,1993,319,1265,-1
BV037981574,ita,Corrado Gagli ad Ancona,2006,147,204,-1
BV047744422,eng,Woodcut printing in water-colours,1894,515,-84,-1
BV041225082,eng,Musical worlds in Yogyakarta,2012,368,325,6
BV037973312,ita,"Su Daniele da Volterra, in occasione di una mostra",2005,294,-84,-1
BV011799758,eng,Holbein's ambassadors,1997,-159,-674,-1
BV043816111,ita,"L'altare maggiore di San Giovanni, una mostruosità di Biagio Bellotti",[2016],-245,-421,-1
BV038556363,ger,Das Betonglasfenster,1966,736,494,-1
BV038053197,ger,Das Orgelmodell von 1990 in der Westvorhalle des Domes,1990,417,-228,-1
BV038133162,ita,Definizione e verifica di una prassi non distruttiva per la realizzazione di calchi su materiale ligneo,1996,147,-228,-1
BV038047861,ita,Martone,2008,-196,-204,-1
BV037922694,ger,Stil und Überlieferung in der Kunst des Abendlandes,1965,-147,-686,-1
BV047110514,ita,I volumi illustrati dei classici latini dell'editore Jacob Tonson (1697-1717),2020,797,-168,-1
BV038867733,ita,"Attilio Forgioli, Alberto Ghinzani, Irving Petlin, Ruggero Savinio",1975,601,481,-1
BV047305855,swe,Det villrådiga samhället,[2020],-466,638,0
BV003592781,ger,Der Film Die wunderbaren Jahre,1979,650,409,-1
BV038620574,ger,Plastiken zwischen Blumen und Blattwerk,1969,319,-108,-1
BV038350953,ger,Hans R. Hahnloser gest.,1974,-858,373,-1
BV038121426,ita,Il Mirador di Tierno Galván,2010,625,313,-1
BV038142334,ita,La porcellana veneziana vero antidoto contro la decadenza,1998,-159,240,-1
BV047916660,fre,Paris en ruines,2022,-404,891,0
BV038022094,ger,Spolie oder Neuanfertigung?,1998,503,-24,7
BV019383371,ita,Cinema e fascismo,2004,-36,-313,8
BV038037527,ger,Der Bibliotheksaal des brixner Priesterseminar,1966,257,554,5
BV038511843,ita,Il codice 28 dell'Archivio capitolare della cattedrale di Piacenza,1969,429,216,-1
BV037719540,eng,Dreams and shadows,1993,-184,-96,9
BV018664226,eng,The Bernard Berenson treasury,1964,638,156,-1
BV024386899,ita,Gino Zani,1992,-73,-253,-1
BV041112641,ger,Naturwahrheit und ästhetische Umsetzung,2013,-404,915,0
BV038143773,ita,Questa collezione è un gran gioiello !,1997,-61,-530,-1
BV038680546,hrv,Natječajni projekt bečkog arhitekta Augusta Kirsteina za župnu crkvu svetih Petra i Pavla u Osijeku,2007,355,361,6
BV037946298,ita,Disegno e ornamento nell'opera pittorica di Francesco di Giorgio Martini,2004,-306,939,0
BV047631868,ger,Drohnentechnologie und moderne Kriegsführung,[2021],-392,36,-1
BV038031822,ita,"Sulle tracce dei Sanmicheli a Brescia e Mantova, tra Quattro e Cinquecento",2007,147,-84,-1
BV038140291,ita,"[Rezension von:] Il centro di Firenze restituito : affreschi e frammenti lapidei nel Museo di San Marco. - Firenze : Bruschi, 1989",1995,0,662,-1
BV045514829,ita,L'architettura,[2017],-331,457,-1
BV038875878,eng,The iconography and iconology of Georges de La Tour's religious paintings (1624 - 1650),2003,-220,-445,-1
BV047722272,ger,Die Erziehung für das Kunsthandwerk,1912,-159,843,-1
BV038610079,eng,Ivories,1964,539,614,-1
BV038534007,ger,Der Tod in der modernen Kunst,1959,184,-361,-1
BV038356216,rum,Preocupǎri muzeografice craiovene la sfirşitul secolului al XIX-lea şi inceputul secolului al XX-lea,1977,748,-361,-1
BV037889859,fre,"Catalogue des ivoires, des objets en nacre, en os gravé et en cire peinte",1902,429,-530,-1
BV038468280,eng,Constable's Lock,1953,797,265,-1
BV038939437,ita,Villa Monte Oro,2004,-282,144,-1
BV038921244,ita,Piero Sartogo,1997,343,-132,-1
BV038496019,ita,Poesia di De Pisis,1950,355,433,-1
BV038052402,ita,La macchina a vapore e la crisi di mutazione della manifattura granducale in opificio statale,1988,552,24,-1
BV038330315,eng,On the static analysis of the Olympic cable roofs in Munich,1972,-380,-433,-1
BV001963824,ger,Schmuck der alten Welt,1975,527,433,-1
BV038312137,ita,Donne illustri,1899,-392,-325,-1
BV045495765,ger,Philipp Müller (1804-1870),[2018],122,84,-1
BV037747613,ita,L' idea del classico,1992,-331,-216,-1
BV009841499,ger,Romanik in Altbayern,1994,-441,132,-1
BV038194817,ger,"Auf der Spurensuche nach Frieda Hess (-Fleischmann), Solotänzerin am Königlichen Hoftheater zu Dresden von 1906 bis 1918",2002,-98,84,9
BV038466261,ita,Per l'Amore dormiente del Caravaggio,1977,981,-156,-1
BV045370598,fre,"Giovanni Boldu, peintre venitien et medailleur ferrarais",2018,171,-325,-1
BV038299515,ita,Mostra dell'opera incisa di Giovanni Benedetto Castiglione,1982,588,349,-1
BV038331608,ger,Eine vorkarolingische Reliefstele der Kreuzigung in der Mellebaudis-Memorie zu Poitiers,1987,601,48,-1
BV047751581,eng,The art of Fantin Latour,1902,650,385,-1
BV044476424,ita,La storia vegetalizzata,febbraio 2018,895,578,-1
BV038435498,ger,Jolie Eva,1988,-147,831,-1
BV038143107,eng,Piero della Francesca's 'St Julian' at Sansepolcro,1999,920,578,-1
BV012741664,eng,The journal of organic chemistry,1936-,85,-265,-1
BV041375199,ita,"La ceramica da mensa, da dispensa, ad uso funerario e liturgico e da illuminazione",2013,-147,-445,-1
BV045294003,ita,Il Centro Pecci a Prato,[2018],368,445,-1
BV038178659,fre,"L' Appartement de la générale Bonaparte, puis de l'impératrice Joséphine aux Tuileries (1800 - 1807)",2000,-171,542,-1
BV037766905,fre,"Monuments chrétiens d'Hippone, ville épiscopale de Saint Augustin",1958,208,0,-1
BV038080534,ita,Testimonianze letterarie ed iconografiche sul Sacco di Roma,1971,576,-1108,-1
BV048230759,ger,Die Kunst der Verkleidung,2022,760,638,-1
BV037602183,ita,I Saraceni nel ducato di Gaeta e nell'Italia centromeridionale (secoli IX e X),1991,-392,-253,-1
BV037976463,ger,Rätselhaftes Kabinettstück,2005,-73,-373,-1
BV045894069,ita,Genovesino à Paris,[2019],-319,807,0
BV038561064,fre,Dessins inédits de Delacroix pour la Liberté guidant le peuple,1971,-895,-698,-1
BV003502258,fre,L' église nationale de Saint Louis des Français à Rome,1894,858,-325,-1
BV043738492,ger,Neue Materialist_innen in der zeitgenössischen Kunst,2014,245,590,5
BV038140186,ger,Methexis statt Mimesis,1999,220,-36,-1
BV038446410,eng,"J. O. J. Frost, painter-historian of Marblehead",1955,-147,903,-1
BV005202057,fre,La régime féodal de l'Italie normande,1940,306,48,6
