,id,lang,title,year,embedding_x,embedding_y,cluster
106,BV000046118,ita,"Arte, artigianato e tecnica nella poetica di Le Corbusier",1982,281,-260,150
107,BV000046363,eng,Arnaldo Pomodoro,1982,153,-117,-1
108,BV000046405,eng,In the shadow of Florence,1982,119,-200,-1
109,BV000047254,ita,Borromini nella cultura europea,1982,263,-177,161
110,BV000047528,ger,Objekte der Kunst,1982,-349,283,27
111,BV000047912,ger,Wahrheit und Freiheit,1982,212,-132,164
112,BV000048222,ger,Schloß Madrid,1983,-259,-68,-1
113,BV000048552,ger,Bronzen von der Antike bis zur Gegenwart,1983,332,-230,185
114,BV000048766,ger,Systematische Musikwissenschaft,[1982],131,-256,111
115,BV000049093,ger,Wehrkirchen in Europa,1983,-85,200,-1
116,BV000049757,ger,Gemälde bis 1900,1982,-447,0,-1
119,BV000051103,ger,Esope,1982,-153,-215,-1
120,BV000051199,ger,Der Palazzo Venezia in Rom,1982,366,-253,143
121,BV000051261,eng,Taddeo Gaddi,1982,336,-279,193
122,BV000051870,ita,Studi sullo stato di conservazione della Cappella degli Scrovegni in Padova,1982,234,15,96
123,BV000052154,ger,Staatsausgaben und crowding-out-Effekte,[1983],238,-177,130
124,BV000052189,ger,Capogrossi,1982,204,56,-1
125,BV000052480,ger,Die Granulation,1983,85,-298,-1
126,BV000052920,ger,Hans Baldung Grien,1983,-395,15,-1
127,BV000053069,ger,Querelle-Filmbuch,1982,293,-22,101
128,BV000053168,ger,Die Ikonen,1982,106,-128,104
130,BV000053442,ger,Im Licht von Claude Lorrain,[1983],-8,11,-1
131,BV000053447,ger,Drei Jahrhunderte deutsche Malerei,1982,-8,-260,66
132,BV000054135,eng,Romanesque signs,1983,268,60,-1
133,BV000054400,ger,Handwerk und höfische Kultur,1982,-68,207,77
134,BV000056379,ita,Istituzioni ecclesiastiche e vita religiosa dei laici nel Mezzogiorno medievale,1982,349,-109,166
135,BV000057002,eng,Art in the medieval west and its contacts with Byzantium,1982,-187,192,11
136,BV000057076,ger,Orlando di Lasso,1982,-191,-438,44
137,BV000057188,fre,Les incunables de la Bibliothèque de Genève,1982,413,-98,-1
138,BV000057652,ger,Parsifal,1982,238,-86,-1
141,BV000058715,ger,Menzel - der Beobachter,1982,221,-215,149
142,BV000059091,ger,"Die griechische Pflanzenwelt in Mythos, Kunst und Literatur",1982,102,-139,104
144,BV000059371,ger,Die Kaiser-Wilhelm-Gedächtniskirche,1982,-255,-71,-1
146,BV000059719,spa,"The classified directory of artists' signatures, symbols & monograms",1982,178,-298,108
147,BV000059955,ger,Nazarener,1982,-200,-430,-1
148,BV000061418,ger,Kunst im Detail,[1982],-344,324,33
149,BV000063374,ger,Die Sehnsucht des Rainer Werner Fassbinder,1982,106,-226,-1
150,BV000063546,ger,Weltchronik,1982,259,60,-1
151,BV000063604,eng,Filippo Lippi studies,1982,570,64,5
152,BV000063965,ita,La civiltà bizantina dal XII al XV secolo,1982,-46,37,91
153,BV000064314,ger,Paris,1982,-276,-143,-1
154,BV000064564,eng,"Taxation, community and state",1982,-80,-445,-1
155,BV000065249,ger,Von Odysseus bis Felix Krull,1982,217,-264,-1
156,BV000065516,ger,Umweltallokation im Raum,[1982],238,-283,120
157,BV000066137,ger,Deutsche Kunst der Romanik,1982,-174,-476,45
158,BV000066205,ger,Geschichte des Hospitals,1966,323,-94,-1
160,BV000066979,eng,"Literary landscape, Turner and Constable",1982,-12,7,97
161,BV000066999,ger,Der Dom zu Mainz,1982,-289,-102,-1
162,BV000067268,ger,Publius Vergilius Maro,1982,-574,68,1
163,BV000067365,ger,Die römische Kaiserstatue am Ausgang der Antike,1982,438,68,37
164,BV000067671,eng,Mummy portraits in the J. Paul Getty Museum,1982,34,-94,-1
165,BV000067711,ger,Kleine Kunstgeschichte der deutschen Stadt im Mittelalter,1982,-166,-468,45
166,BV000068079,ger,Rom,1982,-195,-290,-1
167,BV000068422,ger,Josef Mahlknecht,1982,-430,30,16
168,BV000068718,eng,Literary and artistic patronage in ancient Rome,1982,447,75,37
169,BV000069371,ger,Architektur und Harmonie,1982,327,-302,167
170,BV000069773,ita,Carte segrete,1982,114,-264,-1
173,BV000069891,eng,The rapes of Lucretia,1982,336,-188,-1
174,BV000069921,eng,Titian,1982,238,464,0
175,BV000069955,ita,Ricerche su Cristofano Allori,1982,17,-419,36
176,BV000070256,ger,Italienische Reise,1982,485,328,-1
177,BV000070682,ger,Rainer Werner Fassbinder dreht Querelle,1982,123,-188,-1
178,BV000070954,ger,Werke und Briefe,1980,-217,219,-1
179,BV000071038,ger,Griechische und lateinische Inschriften zur Sozialgeschichte der Alten Kirche,1982,315,-328,-1
180,BV000071051,ita,Il Bacco di Michelangelo,1982,366,86,57
181,BV000071629,ita,Maioliche Cantagalli in donazione al Bargello,1982,-4,113,-1
182,BV000072432,ita,Roma dal cielo,1982,-149,-249,-1
183,BV000074399,ger,Die Revolution von 1525,1983,89,-317,-1
184,BV000074514,eng,The Great Exhibition,1982,259,-302,121
185,BV000074557,ger,Die Form der Zeit,1982,310,-219,155
186,BV000074571,ger,Die unsterblichen Obelisken Ägyptens,1982,183,-90,114
187,BV000075025,ger,Das Bad in der byzantinischen Zeit,1982,-102,124,86
188,BV000075038,ger,Das letzte Loch,1982,370,-181,181
189,BV000075292,ger,Ornament und Kunst,1982,315,-207,-1
190,BV000075431,eng,The Vatican and the American hierarchy from 1870 to 1965,1982,131,460,4
191,BV000075771,ger,Karl VII.,1982,-106,30,87
192,BV000076033,eng,Atlas of the Roman world,1982,438,75,37
195,BV000077179,eng,Renaissance and renewal in the twelfth century,1982,-46,219,79
196,BV000077369,ger,Wandel des Weltbildes,1983,400,207,-1
197,BV000077402,eng,Alvise Vivarini,1982,174,37,-1
198,BV000077970,eng,Donatello and his sources,1982,378,219,-1
199,BV000078053,ger,Historische Malmaterialien und Möglichkeiten ihrer Identifizierung,1982,395,-309,-1
200,BV000078164,ger,Die Ulmer Geographia des Ptolemäus von 1482,1982,51,185,-1
201,BV000078405,eng,Political leadership in contemporary Japan,1982,344,166,24
202,BV000078431,eng,Sukeroku's double identity,1982,161,-162,125
203,BV000078460,ger,Giorgiones Gewitter,[1982],225,-204,110
204,BV000079870,eng,The Vatican,[1982],-332,298,31
205,BV000079969,ita,Incisori del Novecento nelle Venezie tra avanguardia e tradizione,1983,0,49,90
207,BV000081210,fre,Guide de Paris,1982,161,170,80
208,BV000081219,eng,The medieval Alexander legend and romance epic,1982,76,-170,-1
209,BV000081866,ger,"Götterzeichen, Liebeszauber, Satanskult",1982,106,120,-1
210,BV000082235,ita,Guttuso,1982,306,-86,174
211,BV000082392,ger,Doktor Faustus,1982,187,-268,-1
213,BV000082580,fre,Le cérémonial papal de la fin du moyen âge à la Renaissance,1977,102,-207,-1
214,BV000082582,fre,Le cérémonial papal de la fin du moyen âge à la Renaissance,1981,378,-83,-1
216,BV000082586,fre,Le cérémonial papal de la fin du moyen âge à la Renaissance,1985,55,-188,-1
217,BV000082904,fre,Les sculptures de Notre-Dame de Paris au Musée de Cluny,1982,106,241,41
218,BV000082946,ger,Der Passauer Dom und die Deckengemälde Carpoforo Tencallas,1982,123,-60,-1
219,BV000082958,eng,Circa 1600,1983,566,45,5
220,BV000082959,eng,Artisti di quattro accademie straniere in Roma,1982,272,-79,-1
221,BV000083001,ita,Trattato di architettura militare,1982,400,283,53
222,BV000083084,ger,Ungarn und Österreich unter Maria Theresia und Joseph II.,1982,76,-298,-1
223,BV000083097,ita,D'Aronco e l'architettura liberty,1982,195,-192,-1
224,BV000083390,ger,La peinture française du XVIIe siècle dans les collections américaines,1982,29,-219,82
225,BV000083549,ger,"Beiträge zu Symbol, Symbolbegriff und Symbolforschung",1982,259,-98,169
226,BV000083730,eng,Braque,1982,246,-109,-1
227,BV000084266,ger,Staatsverschuldung und Stabilisierungspolitik in der Demokratie,1982,344,-128,192
228,BV000085016,ger,Ex Bibliotheca Regia Berolinensi,1982,217,136,83
229,BV000085452,ger,Korsika,1982,29,324,-1
230,BV000085648,ger,Der Bildhauer Albert Wolff,1982,395,-211,172
231,BV000085651,eng,Saints and society,1982,-72,241,79
232,BV000086133,ger,"Turin, Piemont, Aostatal",1982,68,-238,-1
234,BV000086480,eng,Leonardo da Vinci as a musician,1982,323,170,24
235,BV000086580,eng,Building the Escorial,1982,-263,-124,64
236,BV000086820,eng,The critical historians of art,1982,-191,37,-1
237,BV000086891,ger,Funktionen des Fiktiven,1983,183,-355,-1
238,BV000087009,fre,Pratiques et discours alimentaires à la Renaissance,1982,110,26,94
239,BV000087012,eng,Virgil,1982,51,124,76
240,BV000087238,ger,Wirkungen einer Auslandsverschuldung des Staates bei flexiblen Wechselkursen,1983,-136,-426,49
241,BV000087514,eng,Handbook of synagogue architecture,1982,12,-249,-1
242,BV000087773,ger,Gartenkunst der Renaissance und des Barock,1983,229,-109,165
243,BV000087918,ger,Kundendienst-Management,1982,178,-139,118
244,BV000087947,fre,Laurent le Magnifique,1982,-110,-86,-1
245,BV000088360,ger,Geschichte Italiens und der Italiener,1983,459,366,-1
246,BV000088660,ita,Cola dell'Amatrice architetto e la sperimentazione classicistica del Cinquecento,1982,-263,-94,65
247,BV000089097,eng,John Soane,1982,395,-226,180
248,BV000089313,dut,Pyke Koch,1982,272,-222,-1
249,BV000089566,eng,Canaletto,1982,72,-483,-1
250,BV000089803,ger,Das Ende der Kunstgeschichte?,1983,387,-105,-1
251,BV000090141,ita,Lady Hamilton,1982,208,-332,-1
254,BV000090593,ger,Italienisches Tagebuch,1982,425,313,-1
255,BV000090906,eng,Gentile da Fabriano,1982,29,120,-1
256,BV000092067,ger,Rosenfenster und Himmelskreise,1982,195,-328,-1
257,BV000092124,ger,Irische Kunst aus drei Jahrtausenden,1983,-327,340,-1
258,BV000092196,ger,"Philipp Hackert, Zehn Aussichten von dem Landhause des Horaz, 1780",1983,242,-143,139
259,BV000092477,ger,Farbige Holzbildwerke des 14. Jahrhunderts,1983,-55,75,-1
260,BV000092596,ger,Bruno Bruni,1982,298,-306,178
261,BV000093540,ger,Theorien der Kunst,1982,-51,-321,67
262,BV000093573,eng,Turner abroad,1982,-4,7,97
263,BV000093921,ita,L' arte gotica in Francia e in Italia,1982,-119,502,2
264,BV000094011,fre,L' architecture à la française,1982,-242,-75,-1
265,BV000094014,eng,Introduction to the collections,1983,-374,283,-1
266,BV000094074,ger,Die Seestadt Ancona im Spätmittelalter,1983,298,132,24
267,BV000094102,ger,2000 Jahre Vergil,1983,-570,56,1
268,BV000095058,fre,Les jeux à la Renaissance,1982,110,18,94
269,BV000095067,ita,La chiesa di S. Maria della Salute e la cabala di Paolo Sarpi,1982,332,-94,154
270,BV000095120,eng,Francesco Traini,1983,144,-306,107
271,BV000095124,ger,Goethe in der Medaillenkunst,[1982],21,-7,-1
272,BV000095474,swe,Imagines medievales,1983,-349,260,22
275,BV000095965,ger,Byzantinisches Kreta,1983,-63,-392,-1
277,BV000096501,ger,Platonismus und Christentum,1983,97,166,-1
279,BV000101722,bul,Izsledvanija vărchu architekturata na bălgarskoto srednovekovie,1982,-140,-75,-1
280,BV000106465,ger,Thesaurus librorum,1983,-106,-340,34
281,BV000106552,ger,Bisanzio e l'Italia,1982,34,49,90
282,BV000106599,ger,Leben und Werk des großherzoglich-oldenburgischen Oberbaurats Hero Diedrich Hillerns,1983,298,-290,178
283,BV000106794,ita,Il mio Morandi,1982,178,-94,-1
284,BV000106809,ger,"Modelle, Konstruktion der Wirklichkeit",1983,191,-143,164
285,BV000106937,ger,Corpus der byzantinischen Miniaturenhandschriften,1982,-157,37,84
286,BV000106939,ger,Corpus der byzantinischen Miniaturenhandschriften,1982,-166,60,84
287,BV000106953,ita,Retorica e iconologia,1982,276,-105,169
288,BV000106980,eng,Journal of a tour made in Italy in the winter of the years 1819 and 1820,1982,404,347,-1
289,BV000106982,fre,Voyage d'Italie (1606),1982,434,313,51
290,BV000107294,ger,Briefe aus Italien,1983,127,124,-1
291,BV000107639,ger,Zeremoniell und monumentale Poesie,1983,383,-41,-1
292,BV000107817,ita,La metafisica schiarita,1982,442,336,-1
293,BV000107979,ita,Jean-Jacques Henner e lo spiritualismo,1982,25,358,-1
294,BV000108396,eng,The necessity of artifice,1982,285,-143,161
295,BV000108455,ita,Storia monastica ligure e pavese,1982,-17,-102,98
296,BV000109005,ita,Calici italiani,1983,12,-37,97
297,BV000109007,ita,Medaglie italiane del Rinascimento,1983,4,-37,97
298,BV000109094,eng,The Frankish kingdoms under the Carolingians 751 - 987,1983,174,324,-1
299,BV000109175,fre,Le roi René,1982,149,-158,125
300,BV000109309,ger,"Rom, Ravenna, Konstantinopel, Naher Osten",1982,-110,117,86
301,BV000109311,eng,William Jay,1983,-72,-45,92
302,BV000109401,ita,Morra,1982,276,-83,171
303,BV000109612,ita,Il Lazio nell'antichità romana,1982,-93,-245,-1
304,BV000109616,ger,"Einblicke, Einsichten, Aussichten",1983,281,124,24
305,BV000109799,eng,Dugento painting,1983,557,37,5
306,BV000110300,ger,Abruzzen und Molise,1983,195,298,26
307,BV000110414,ita,Quel bowling sul Tevere,1983,383,-207,172
308,BV000110577,ger,Raphaels Transfiguration,1982,-93,-41,92
309,BV000110603,ger,Römische Thermen,1983,344,-75,173
310,BV000110644,ita,Palmanova,1983,123,-309,-1
311,BV000110648,ita,Storia della Biennale,1982,212,298,25
312,BV000110712,eng,Islamic jewelry in the Metropolitan Museum of Art,1982,-149,-136,73
313,BV000110714,ger,Hommage à Günther Franke,1983,89,-332,-1
314,BV000111213,ita,Iconografia di San Benedetto nella pittura della Toscana,1982,187,71,89
315,BV000111716,ger,Geschichte der Niederlande,1983,204,306,25
316,BV000111791,ita,La costruzione dell'architettura nel Cinquecento,1982,481,347,-1
317,BV000111869,ita,La casa rotonda,1982,246,-268,127
318,BV000111946,eng,Cosimo Bartoli,1983,38,-423,36
319,BV000112004,eng,The Ruskin polygon,1982,140,-279,-1
321,BV000112192,eng,Architecture and the crisis of modern science,1983,-285,-143,62
322,BV000113713,ger,Die Mendelssohns in Berlin,1983,0,-102,-1
323,BV000113734,fre,L' emblème à la Renaissance,1982,123,-143,-1
324,BV000113916,ita,Pietro da Cortona o della pittura barocca,1982,-400,56,-1
326,BV000114407,ger,La carte manuscrite et imprimée du XVIe au XIXe siècle,1983,72,355,-1
327,BV000114438,ger,Gemmensammler und Gemmenforscher,1983,-140,-445,-1
328,BV000114542,ger,Frida Kahlo und Tina Modotti,1982,29,-408,36
331,BV000114968,ita,La ceramica medievale a Siena e nella Toscana meridionale,1982,127,94,-1
332,BV000115674,ita,Una biblioteca universitaria del secondo '600,1983,357,-253,194
333,BV000116070,ita,La cattedra di San Pietro nella scienza e nella fede,1982,-276,143,-1
334,BV000116242,ger,Der wohl anführende Mahler,1982,408,-230,-1
335,BV000116306,eng,Atti del Simposio Internazionale Cateriniano-Bernardiniano,1982,166,-113,114
336,BV000116761,ita,"Pompei, Ercolano, Stabia",1982,166,-30,-1
337,BV000117035,ger,Der Landschaftsmaler Otto Reiniger,1982,-200,-438,-1
338,BV000117068,eng,An iconographic index to Stanislas Lami's Dictionnaire des sculpteurs de l'École française au dix-neuvième siècle,1983,80,370,-1
339,BV000117645,eng,Savoring the past,1983,46,355,-1
340,BV000117840,ita,Barga medicea e le enclaves fiorentine della Versilia e della Lunigiana,1983,76,11,95
341,BV000117938,eng,Raphael and America,1983,-93,-26,92
342,BV000117989,ger,Die Textilien in der Sammlung des Prinzen Johann Georg von Sachsen,1982,-17,-177,-1
343,BV000118043,ita,Giovanni Boldini,1982,400,-230,179
344,BV000118045,ita,Il disegno del prodotto industriale,1982,408,268,-1
345,BV000118135,ger,Die Skulptur der Griechen,1983,93,230,41
346,BV000118215,ger,Documenta - Idee und Institution,1983,357,-170,183
347,BV000118217,eng,Tappeti,1983,259,30,-1
348,BV000118268,fre,Rome,1982,-191,-287,-1
349,BV000118352,ger,Tradition als historische Kraft,1982,-59,222,79
350,BV000118396,ger,Velázquez,1982,281,-41,101
351,BV000118398,eng,Antonio Rizzo,1983,378,-188,182
352,BV000118491,ita,Il Mezzogiorno dai Bizantini a Federico II,1983,383,253,-1
353,BV000119788,eng,Rubens and his circle,1982,229,-56,-1
356,BV000119811,ger,Geschichte der religiösen Ideen,1981,51,-132,-1
359,BV000120072,eng,The age of Abbot Desiderius,1983,136,487,4
360,BV000120146,ita,Antichi mestieri di Roma,1982,-204,-260,71
361,BV000120156,ita,Il pubblico dell'arte,1982,-336,332,32
364,BV000121832,eng,A bibliography of Chinese-language materials on the people's communes,1982,349,-283,-1
365,BV000121929,ger,Humanismus und Ökonomie,1983,127,34,94
366,BV000122678,ger,"Neapel, Capri, Ischia",1983,-178,-49,38
367,BV000122876,eng,Architetture di Paolo Portoghesi e Vittorio Gigliotti,1982,383,-283,188
368,BV000123035,ger,Der Heilige Severin,[1982],374,71,57
369,BV000124733,ger,Josef Danhauser,1983,242,-302,-1
370,BV000125026,ger,Thomas Ender,1982,4,-415,36
371,BV000125047,ita,Poggio Bracciolini,1982,251,-143,139
372,BV000125426,ger,Bibliotheksneubauten in der Bundesrepublik Deutschland 1968 - 1983,1983,-174,-400,-1
373,BV000125621,eng,The rare art traditions,1982,-323,275,29
374,BV000125846,fre,La reliure occidentale antérieure à 1400,1983,-63,204,-1
375,BV000125989,fre,Commentaire des Elégies de Maximien,1983,131,-90,-1
376,BV000126070,eng,Ben Sira's view of women,1982,-549,45,1
377,BV000126392,dut,Klassieke traditie in beeldende kunst en architectuur,1983,-289,290,31
378,BV000126950,eng,Cities in the round,1983,140,-120,-1
380,BV000127677,eng,The international trade in art,1983,51,-117,-1
381,BV000127687,eng,Théophile Gautier,1982,0,-200,82
382,BV000128079,ita,Settecentisti francesi per illustrare la Biblioteca Palatina,1983,63,362,-1
383,BV000128283,eng,Pierre Mignard,1983,140,-166,-1
384,BV000128291,eng,Tokens of a friendship,1982,-242,113,40
385,BV000128386,ger,Das Kunsthandwerk der Büchsenmacher im Land Braunschweig,1983,259,-332,128
386,BV000128460,ger,Renaissance-Zentralbauten in Oberitalien,1982,-276,-90,63
387,BV000128773,ger,Türme und Turmhäuser,1983,366,-313,-1
388,BV000129872,ger,Leningrad,1983,208,-256,146
389,BV000130063,eng,"Architecture, poetry, and number in the Royal Palace at Caserta",1983,-272,-94,-1
390,BV000130123,ita,Il cenacolo di Andrea Del Sarto a San Salvi,1982,-344,-211,6
391,BV000130679,dan,Danske kunstnere i Rom,1982,161,192,80
392,BV000131058,ger,Von Bürgern und Weltbürgern,1983,178,268,-1
393,BV000132199,eng,Michelangelo,1983,59,34,90
394,BV000132206,ger,Palast-Hotels,1982,238,-117,-1
395,BV000132339,ger,Griechische Töpferkunst,1983,17,-86,99
396,BV000132418,ger,"Buch, Bibliothek und geisteswissenschaftliche Forschung",1983,-131,-445,49
397,BV000132560,ita,Gabriele d'Annunzio,©1983,-127,-86,-1
398,BV000132893,ger,Das Weltgerichtsfresko in Santa Maria Donnaregina zu Neapel,1983,263,-321,128
399,BV000132976,ita,Palladio e Venezia,1982,63,-491,15
400,BV000133229,ita,Michelangelo,1982,106,196,41
401,BV000134291,eng,Athenian Stuart,1982,-72,-136,85
402,BV000134537,ger,Theseus,1982,-306,313,32
403,BV000135009,eng,Barukh Kurzweil and modern Hebrew literature,1983,400,-117,-1
404,BV000135319,ita,Il magnifico,1982,29,-272,74
405,BV000135541,ita,Scritti scelti sulla religione greca e romana e sul cristianesimo,1983,127,-49,103
409,BV000136212,und,Mounted oriental porcelain in the J. Paul Getty Museum,1982,68,328,-1
411,BV000136245,ger,Die Tafeldeckel der christlichen Sarkophage konstantinischer Zeit in Rom,1982,-208,-294,-1
412,BV000136291,ita,Il Correggio e la congregazione cassinese,1982,174,151,-1
413,BV000136387,ger,Luther und die Folgen für die Kunst,1983,42,-396,36
414,BV000136551,eng,The drawings of Raphael,1983,161,79,-1
415,BV000136594,ger,Studien zur Kirchen- und Kunstgeschichte Regensburgs,1983,-298,313,32
416,BV000136913,ger,Die italienische Renaissance,1983,119,41,94
417,BV000137081,ger,Stil- und Motivquellen in Werken des Cosmas Damian Asam,1983,361,-128,192
418,BV000137410,ger,Romanische Kunst,1983,-353,302,27
419,BV000137412,ger,Romanische Kunst,1984,-319,294,31
420,BV000137506,eng,The Renaissance,1982,110,34,94
421,BV000138190,ger,Italien sieht Dürer,1983,425,275,54
422,BV000138216,fre,L' urbanisme à l'époque moderne,1982,-204,177,11
423,BV000138371,ger,Kunst und Kultur am Mittelrhein,1982,-310,287,31
425,BV000139893,ger,Die Wolfenbütteler Bilderhandschrift des Sachsenspiegels und ihr Verhältnis zum Text Eikes von Repgow,1983,208,-75,190
426,BV000139918,eng,"Hollstein's German engravings, etchings and woodcuts",1983,374,-177,184
427,BV000139920,eng,"Hollstein's German engravings, etchings and woodcuts",1984,344,-309,134
428,BV000139922,eng,"Hollstein's German engravings, etchings and woodcuts",1986,306,-117,-1
429,BV000140017,ita,I disegni di Victor Hugo,1983,200,128,83
431,BV000140619,ita,Sicilia occidentale,1983,-21,408,12
432,BV000140621,ita,Lombardia,1982,127,-192,133
433,BV000140623,ita,Lazio settentrionale,1983,-38,408,12
434,BV000140717,eng,Neighbours and neighbourhood in Renaissance Florence,1982,327,60,68
435,BV000140738,ita,Miscellanea archaeologica,1982,-59,154,69
436,BV000140766,ita,Studi sul XIV secolo in memoria di Anneliese Maier,1981 [erschienen] 1982,-63,196,-1
437,BV000141129,ger,Maria Delago,1983,178,-306,105
438,BV000141741,ger,Raphael in der Alten Pinakothek,1983,46,-188,-1
439,BV000141870,eng,The Jewish sanctuary,1983,404,-113,-1
444,BV000142073,fre,Ile-de-France romane,1983,-378,234,-1
445,BV000142157,ger,Florenz,1983,-366,-222,6
446,BV000142221,eng,Studies in the arts at Sinai,1982,-357,290,27
447,BV000142277,ita,La scultura del Seicento,1982,255,192,23
448,BV000142306,fre,Les routes de la foi,1983,106,-370,-1
449,BV000142452,ita,Ostia,1983,140,-241,-1
450,BV000143180,ita,Baldessari,1982,404,287,-1
451,BV000143233,ger,Mittelalterliche Langhaus-Kuppelkirchen und verwandte Typen in Oberägypten,1982,178,-230,113
452,BV000143339,fre,"La vie et l'oeuvre d'Aubin Vouet, (1595 - 1641)",1982,408,-215,-1
453,BV000143498,ger,Stadt Lemgo,1983,-281,-139,62
454,BV000143785,eng,The prince and the wild geese,1983,212,-64,158
455,BV000143990,ita,Boccioni,1983,315,139,24
456,BV000144007,fre,La peinture dans la peinture,1983,-447,7,-1
457,BV000144107,fre,Le Palais Farnèse,1981,-76,-56,-1
458,BV000144401,ger,Von Angesicht zu Angesicht,1983,12,-423,36
459,BV000144891,ita,"Giuseppe Sommaruga, un protagonista del Liberty italiano",1982,195,-298,147
